customer_id,customer_name,segment,country,city,state,postal_code,region,last_updated
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,2024-01-01
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,2024-01-01
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,2024-01-01
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2024-01-01
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,2024-01-01
IM-15070,Irene Maddox,,United States,Seattle,Washington,98103,West,2024-01-01
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,2024-01-01
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,2024-01-01
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,2024-01-01
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,2024-01-01
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,2024-01-01
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2024-01-01
EB-13870,Emily Burns,Consumer,United States,,Utah,84057,West,2024-01-01
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,2024-01-01
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2024-01-01
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,2024-01-01
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,2024-01-01
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,2024-01-01
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,2024-01-01
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,2024-01-01
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,2024-01-01
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,2024-01-01
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,2024-01-01
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,2024-01-01
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,2024-01-01
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,2024-01-01
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,2024-01-01
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,2024-01-01
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,2024-01-01
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,2024-01-01
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,2024-01-01
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,2024-01-01
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,2024-01-01
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,2024-01-01
SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,2024-01-01
DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,2024-01-01
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,2024-01-01
CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,2024-01-01
PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,2024-01-01
