customer_id,customer_name,email,registration_date,customer_type
CUST00001,Allison Hill,donaldgarcia@example.net,2025-10-22,REGULAR
CUST00002,Javier Johnson,jesseguzman@example.net,2024-05-01,REGULAR
CUST00003,Meredith Barnes,zlawrence@example.org,2024-03-02,PREMIUM
CUST00004,Gina Moore,curtis61@example.com,2024-12-13,REGULAR
CUST00005,Renee Blair,dudleynicholas@example.net,2024-09-25,REGULAR
CUST00006,Lisa Hensley,janetwilliams@example.org,2024-09-19,REGULAR
CUST00007,Dr. Sharon James,xreid@example.org,2025-01-23,REGULAR
CUST00008,Michael Miles,lynchgeorge@example.net,2024-07-12,REGULAR
CUST00009,James Mayo,gabriellecameron@example.org,2024-06-17,REGULAR
CUST00010,Renee Morales,clarksherri@example.net,2024-10-28,REGULAR
CUST00011,Jonathan Wilkerson,ithomas@example.org,2025-11-16,PREMIUM
CUST00012,Nicole Patterson,icox@example.net,2025-08-02,REGULAR
CUST00013,Anthony Rodriguez,laurahenderson@example.org,2025-02-14,REGULAR
CUST00014,Zachary Rice,frazierdanny@example.net,2024-08-15,REGULAR
CUST00015,Gina Carter,shawnmckay@example.net,2024-08-10,PREMIUM
CUST00016,Pamela Romero,harrellkenneth@example.net,2025-08-24,PREMIUM
CUST00017,Brittany Farmer,georgetracy@example.org,2025-01-11,VIP
CUST00018,Sandra Parker,allenashley@example.org,2023-11-08,REGULAR
CUST00019,Rose Spence,davidalvarez@example.net,2024-03-10,PREMIUM
CUST00020,Shane Henderson,sarahcampos@example.net,2024-05-05,REGULAR
CUST00021,Jennifer Powers,samuel87@example.org,2024-07-17,REGULAR
CUST00022,George Chapman,briannasmith@example.net,2026-03-04,REGULAR
CUST00023,Austin Johnson,chad34@example.net,2025-07-21,REGULAR
CUST00024,Carlos Walls,esanchez@example.com,2024-04-18,REGULAR
CUST00025,Matthew Gomez,uowens@example.org,2026-05-09,REGULAR
CUST00026,Maria Brown,lauren13@example.org,2024-04-18,REGULAR
CUST00027,Brenda White,ewright@example.com,2025-10-29,VIP
CUST00028,Matthew Fernandez,novaksara@example.org,2024-03-12,PREMIUM
CUST00029,John Hancock,martinaaron@example.com,2024-08-12,PREMIUM
CUST00030,Rachel Mitchell,smoore@example.org,2023-09-26,REGULAR
CUST00031,Kimberly Adkins,williamsthomas@example.net,2024-02-27,PREMIUM
CUST00032,Jordan York,larsonemma@example.org,2025-03-16,PREMIUM
CUST00033,Steve Sanchez,harveyrobert@example.net,2025-11-22,PREMIUM
CUST00034,Taylor Harris,john62@example.net,2026-03-26,REGULAR
CUST00035,Eugene Walton,smithchristine@example.net,2023-11-30,REGULAR
CUST00036,Daniel Baker,nicole35@example.com,2024-02-28,VIP
CUST00037,Joshua Turner,contrerasangela@example.net,2023-12-05,REGULAR
CUST00038,Brandy Wilson,newtoneric@example.com,2026-01-22,REGULAR
